yrTerm1Convertible.allUpfront,yrTerm1Convertible.noUpfront,yrTerm1Convertible.partialUpfront,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.noUpfront,yrTerm3Standard.partialUpfront,instance_type,on_demand
0.459817,0.493,0.469589,0.399886,0.428,0.407995,0.297869,0.328,0.303979,0.248021,0.285,0.263925,c5.4xlarge,0.68
3.707078,3.972,3.782324,3.189269,3.417,3.254169,2.477131,2.73,2.527851,2.039422,2.343,2.169817,m5d.24xlarge,5.424
0.101142,0.108,0.103598,0.088128,0.105,0.089676,0.0793,0.095,0.080816,0.058295,,0.062329,r3.large,0.166
0.402968,0.432,0.411594,0.350457,0.375,0.357767,0.252321,0.278,0.257729,0.210084,0.241,0.223758,r5n.2xlarge,0.596
0.06758,0.072,0.069475,0.05879,0.063,0.060023,0.046195,0.051,0.047592,0.038546,0.044,0.04151,c4.large,0.1
0.195091,0.209,0.199543,0.169292,0.181,0.172416,0.134589,0.148,0.137645,0.108295,0.124,0.11561,r5d.xlarge,0.288
0.077283,0.083,0.078384,0.066438,0.071,0.067904,0.051598,0.057,0.052332,0.042504,0.049,0.045603,m5d.large,0.113
0.340753,0.365,0.347858,0.296347,0.318,0.302256,0.238546,0.263,0.243728,0.189498,0.218,0.201799,r5.2xlarge,0.504
0.370548,0.397,0.378041,0.324201,0.38,0.331123,0.291781,0.342,0.297907,0.209018,,0.222397,m3.2xlarge,0.532
1.945205,2.084,1.984466,1.679338,1.799,1.713849,1.147527,1.265,1.170464,0.958409,1.101,1.019779,m5n.12xlarge,2.856
0.308904,0.331,0.315648,0.265753,0.285,0.271616,0.206431,0.227,0.210327,0.169939,0.195,0.180411,m5d.2xlarge,0.452
1.329909,1.4249,1.357039,1.156393,1.239,1.179954,0.901598,0.9936,0.920008,0.752017,0.864,0.8,m4.10xlarge,2
0.070662,0.076,0.072073,0.060616,0.065,0.061936,0.047146,0.052,0.048049,0.038737,0.044,0.041586,m5ad.large,0.103
0.064954,0.07,0.066105,0.056393,0.06,0.057767,0.042085,0.046,0.042461,0.035084,0.04,0.037645,c5d.large,0.096
1.806849,1.936,1.843804,1.571119,1.683,1.603598,1.133828,1.25,1.156501,0.946918,1.088,1.007691,r5dn.8xlarge,2.672
0.211644,0.2268,0.215991,0.180365,0.1932,0.184009,0.145015,0.1598,0.148011,0.116514,0.1339,0.123986,m6g.2xlarge,0.308
